iter	Logloss
0	0.6864879725
1	0.6806486138
2	0.6742601446
3	0.6687418887
4	0.6625972687
5	0.6575493701
6	0.6526298734
7	0.6460743179
8	0.6400937035
9	0.6348576822
10	0.6302930581
11	0.6261996164
12	0.6212510088
13	0.616407602
14	0.6121849455
15	0.608157886
16	0.602863423
17	0.5985251353
18	0.59394799
19	0.5896573437
20	0.5852207369
21	0.581026132
22	0.576929641
23	0.5730073123
24	0.5684837557
25	0.25	0.56334026	2626	0.55962527	2727	0.5560564632828	0.5520382376
29	0.5486409631
30	0.5431	0.54431	0.5428325919
32	0.5393733461
33	0.5358265422
34	0.5323704028
35	0.5290621696
36	0.5258913363
37	0.5226305456
38	0.5192949743
39	0.5167203985
40	0.5138239303
41	0.5110724302
42	0.5086427626
43	0.5055641557
44	0.5028272321
45	0.4999647748
46	0.4968680153
47	0.4946615609
48	0.4915765524
49	0.4890060588
50	0.486522187
51	0.4838483331
52	0.4818924126
53	0.4796529417
54	0.4779910489
55	0.4759828238
56	0.47390465
57	0.4718356025
58	0.4691646447
59	0.466614234
60	0.4641263374
61	0.4617438359
62	0.4595497626
63	0.4576655494
64	0.4552519009
65	0.4533796848
66	0.4518118628
67	0.4498232745
68	0.4479791062
69	0.4459839939
70	0.4443815449
71	0.442912511
72	0.4409584133
73	0.4390152588
74	0.4373156364
75	0.4357712817
76	0.4332908106
77	0.4314655024
78	0.4300662507
79	0.4283233396
80	0.426664332
81	0.4249655284
82	0.4233713036
83	0.4217415023
84	0.4203635995
85	0.4187037664
86	0.4170679049
87	0.4157357476
88	0.4142778167
89	0.4130127893
90	0.4113905896
91	0.4096047995
92	0.4087042535
93	0.407591792
94	0.405874456
95	0.4046774413
96	0.4035062075
97	0.4025155284
98	0.4011182655
99	0.4000186104
100	0.3986431327
101	0.396945947
102	0.3958605142
103	0.3947880867
104	0.3935153175
105	0.3921363024
106	0.3912613634
107	0.3900566462
108	0.3889529594
109	0.3879798586
110	0.3870025394
111	0.3856154274
112	0.3845029213
113	0.3833436447
114	0.3823213198
115	0.3814860566
116	0.3808356677
117	0.3799131847
118	0.3790374416
119	0.3778918536
120	0.3767990258
121	0.3756988637
122	0.3746527794
123	0.373455673
124	0.3726804302
125	0.3718250286
126	0.3709265213
127	0.3701492795
128	0.3693422007
129	0.3686406653
130	0.3675700954
131	0.3664836514
132	0.3655818586
133	0.3647799931
134	0.3637547511
135	0.3628732491
